ID: Gender, Age Category, Forgetfulness(%), Occupation, WorkPlace, Mask, Closed Relations
00000, Male, Children, 7%, Student, Secondary, false, [09161 | 00276]
00001, Male, Adult, 40%, Shopping Centre Retailer, 2 Akhir, false, [01558]
00002, Female, Senior Citizen, 66%, Retired, null, false, [07439 | 06498 | 04269 | 01975 | 00746 | 01991 | 03990]
00003, Male, Adult, 31%, Waiter, FoodCourt, false, [04820 | 00444]
00004, Male, Senior Citizen, 10%, Retired, null, false, [03910 | 02332 | 00854 | 00959]
00005, Female, Senior Citizen, 19%, Retired, null, false, [07427 | 02268 | 02075 | 00847 | 00619 | 00194 | 03197 | 02627 | 05339]
00006, Female, Adult, 49%, Housemaker, null, false, [06870 | 01816 | 09797]
00007, Male, Children, 11%, Student, Primary, false, []
00008, Male, Senior Citizen, 16%, Retired, null, false, [04161 | 01955 | 01246 | 00704 | 00304 | 01513]
00009, Female, Children, 12%, Student, Primary, false, [08689 | 00345 | 02639 | 07244]
00010, Female, Children, 20%, Student, Secondary, false, [08782 | 08729 | 03581 | 01106 | 00091 | 00057 | 07211 | 05518 | 00285]
00011, Female, Adult, 5%, Shopping Centre Retailer, IKEY, false, [02312 | 09084]
00012, Male, Adult, 44%, Medic, Hospital, true, [02888 | 07039 | 01957]
00013, Female, Adult, 31%, Shopping Centre Retailer, 2 Akhir, false, [01858 | 04661]
00014, Female, Adult, 14%, Chef, IKEY, false, [03639 | 01288]
00015, Female, Senior Citizen, 61%, Retired, null, false, [03026 | 01985 | 04778 | 09614]
00016, Female, Senior Citizen, 46%, Retired, null, false, [02270 | 01543 | 01721 | 05305]
00017, Male, Children, 18%, Student, Primary, false, [03897 | 02137]
00018, Female, Adult, 19%, Waiter, IKEY, false, [00066 | 00598 | 09902]
00019, Female, Senior Citizen, 23%, Retired, null, false, [00890 | 00775 | 00628 | 08197]
00020, Female, Children, 5%, Student, Secondary, false, [07375 | 06919]
00021, Female, Adult, 31%, Teacher, Secondary, false, [01819 | 09074]
00022, Male, Children, 2%, Student, Secondary, false, [01185 | 00144 | 08008]
00023, Female, Senior Citizen, 47%, Retired, null, false, [03026]
00024, Female, Children, 30%, Student, Primary, false, [05538 | 01677]
00025, Male, Children, 13%, Student, Secondary, false, [04616 | 01981 | 00903]
00026, Female, Children, 1%, Student, Secondary, false, []
00027, Female, Adult, 42%, Firefighter, Fire Station, false, [05411 | 01313 | 00586 | 00734]
00028, Male, Children, 5%, Student, Secondary, false, [08062 | 04667 | 00133 | 09399 | 01228 | 01138]
00029, Male, Children, 0%, Student, Primary, false, [02012 | 00970 | 08919 | 07449]
00030, Male, Children, 10%, Student, Primary, false, [07961 | 08901]
00031, Male, Children, 22%, Student, Secondary, false, [04647]
00032, Female, Senior Citizen, 54%, Retired, null, false, [04409 | 02113 | 01846 | 01449 | 00577 | 09736 | 04403 | 01971]
00033, Female, Senior Citizen, 23%, Retired, null, false, [03671 | 09318 | 00279 | 09111 | 02923]
00034, Male, Adult, 46%, Accountant, JJPTRv2, false, [05773 | 01025 | 08001 | 02833 | 07085 | 05265]
00035, Female, Senior Citizen, 46%, Retired, null, false, [08158 | 04925 | 04738 | 04658 | 01096 | 01451 | 09857 | 02858 | 06409]
00036, Female, Senior Citizen, 48%, Retired, null, false, [06010 | 00094 | 00061 | 02481 | 00319]
00037, Male, Senior Citizen, 20%, Retired, null, false, [09113 | 08342 | 08330 | 01525]
00038, Female, Senior Citizen, 45%, Retired, null, false, [01432 | 00385 | 02384 | 09398 | 09711]
00039, Male, Adult, 43%, Teacher, Primary, false, [09046 | 03353 | 09499 | 05439]
00040, Male, Children, 3%, Student, Secondary, false, [06690 | 06522 | 04238]
00041, Male, Adult, 19%, Clerk, Orange, false, [02948 | 03786 | 07326 | 03920]
00042, Male, Senior Citizen, 42%, Retired, null, false, [04875 | 03006 | 05279 | 05330 | 02395]
00043, Male, Children, 13%, Student, Secondary, false, [07511 | 05416 | 04668 | 07744]
00044, Female, Adult, 23%, Technician, Petrocad, false, [06002 | 06206 | 08448]
